key,"am","ar","bn","de","en","es","fa","fr","hi","it","ja","ko","my","pt","ru","so","tr","uk","ur","zh"
add.item,"እቃ ጨምር","إضافة عنصر","আইটেম যোগ করুন","Artikel hinzufügen","Add Item","Agregar Artículo","افزودن مورد","Ajouter un Article","आइटम जोड़ें","Aggiungi Oggetto","アイテムを追加","항목 추가","ပစ္စည်းထည့်ပါ","Adicionar Item","Добавить товар","Ku dar shay","Yeni Ürün Ekle","Додати товар","آئٹم شامل کریں","添加物品"
afad,"AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD : 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD：122"
alerts,"ማስጠንቀቂያዎች","التنبيهات","সতর্কতা","Warnungen","Alerts","Alertas","هشدارها","Alertes","चेतावनियां","Avvisi","アラート","알림","အသိပေးချက်များ","Alertas","Оповещения","Ogeysiisyada","Uyarılar","Сповіщення","الرٹس","警报"
app.name,"የአስቸኳይ ጥቅል የመከታተያ","متتبع حقيبة الطوارئ","জরুরি কিট ট্র্যাকার","Notfallset-Tracker","Emergency Kit Tracker","Rastreador de Kit de Emergencia","ردیاب کیت اضطراری","Traqueur de Kit d'Urgence","आपातकालीन किट ट्रैकर","Tracciatore Kit di Emergenza","非常用キットトラッカー","비상 키트 트래커","အရေးပေါ်ကိရိယာ ခြေရာခံ","Rastreador de Kit de Emergência","Трекер аварийной сумки","Kitaabka Xaalad-dhaafka ah ee Xaqiijinta","Acil Durum Takip","Трекер аварійного комплекту","ہنگامی کٹ ٹریکر","应急包追踪器"
appInfo.build,,,,,"Build",,,,,,,,,,,,"Derleme",,,
appInfo.dataStorage,,,,,"Your data stays on this device only. Remember to create regular backups from the Data Management section.",,,,,,,,,,,,"Verileriniz yalnızca bu cihazda tutulur. Veri Yönetimi bölümünden düzenli yedek almayı unutmayın.",,,
appInfo.description,,,,,"Emergency Kit Tracker is designed to keep your kits, depots, and supplies organised in one place.",,,,,,,,,,,,"Acil Durum Takip, acil durum çantalarınızı, depolarınızı ve ürünlerinizi tek noktadan yönetmenizi sağlamak için tasarlandı.",,,
appInfo.package,,,,,"Package Name",,,,,,,,,,,,"Paket Adı",,,
appInfo.support,,,,,"Visit Settings > Help & Support for assistance or to share feedback.",,,,,,,,,,,,"Destek ve geri bildirim için Ayarlar > Yardım & Destek adımlarını izleyin.",,,
appInfo.title,,,,,"App Information",,,,,,,,,,,,"Uygulama Bilgileri",,,
appInfo.version,,,,,"Version",,,,,,,,,,,,"Sürüm",,,
bag.car,"የመኪና ጥቅል","حقيبة السيارة","গাড়ির কিট","Auto-Kit","Car Kit","Kit del Coche","کیت خودرو","Kit Voiture","कार किट","Kit Auto","車用キット","자동차 키트","ကားတွင်းကိရိယာ",,"Автомобильная сумка","Kitaabka Baabuurka","Araba Çantası","Автомобільний комплект","کار کٹ","车载包"
bag.create.button,"ቦርሳ ፍጠር","إنشاء الحقيبة","ব্যাগ তৈরি করুন","Tasche erstellen","Create Bag","Crear Bolsa","ایجاد کیف","Créer le Sac","बैग बनाएं","Crea Borsa","バッグを作成","가방 만들기","အိတ်ဖန်တီးပါ",,"Создать сумку","Abuur Kiiish","Çantayı Oluştur","Створити сумку","بیگ بنائیں","创建包袋"
bag.create.name,"የቦርሳ ስም","اسم الحقيبة","ব্যাগের নাম","Taschenname","Bag Name","Nombre de la Bolsa","نام کیف","Nom du Sac","बैग का नाम","Nome Borsa","バッグ名","가방 이름","အိတ်အမည်",,"Название сумки","Magaca Kiishka","Çanta Adı","Назва сумки","بیگ کا نام","包袋名称"
bag.create.name_placeholder,"ምሳሌ: የቤት አስቸኳይ ጥቅል","مثال: حقيبة طوارئ المنزل","যেমন: বাড়ির জরুরি কিট","Z.B: Notfallset für zu Hause","E.g: Home Emergency Kit","Ej: Kit de Emergencia del Hogar","مثال: کیت اضطراری خانه","Ex: Kit d'Urgence Maison","उदा: घर का आपातकालीन किट","Es: Kit di Emergenza Casa","例：ホーム非常用キット","예: 홈 비상 키트","ဥပမာ - အိမ်တွင်းအရေးပေါ်ကိရိယာ",,"Например: Домашняя аварийная сумка","Tusaale: Kitaabka Xaalad-dhaafka ah ee Guriga","Örn: Ev Acil Durum Çantası","Приклад: Домашній аварійний комплект","مثال: گھر کا ہنگامی کٹ","例如：家庭应急包"
bag.create.notes,"ማስታወሻዎች (አማራጭ)","ملاحظات (اختيارية)","নোট (ঐচ্ছিক)","Notizen (Optional)","Notes (Optional)","Notas (Opcional)","یادداشت‌ها (اختیاری)","Notes (Optionnel)","नोट्स (वैकल्पिक)","Note (Opzionale)","メモ（オプション）","메모 (선택사항)","မှတ်စုများ (စိတ်ကြိုက်)",,"Примечания (необязательно)","Fiiro gaar ah (Doorasho)","Notlar (İsteğe Bağlı)","Примітки (необов'язково)","نوٹس (اختیاری)","备注（可选）"
